id,complaint_text,department,issue_type,locality,duration_text,latitude,longitude,status
C2092,"Severe Water Leakage observed near Bus Stand in Lajpat Nagar, clean drinking water being wasted for almost 10 days.",Water,Water Leakage,Lajpat Nagar,almost 10 days,28.568375,77.243339,Pending
C1718,Public health emergency due to unattended Garbage Dump near school gate in Karol Bagh.,Sanitation,Garbage Dump,Karol Bagh,2 weeks,28.651268,77.192445,In Progress
C1287,Continuous gridlock and Traffic Congestion due to illegal encroaching near Railway Crossing in Karol Bagh.,Traffic,Traffic Congestion,Karol Bagh,3 days,28.651403,77.192597,Pending
C1787,Unauthorized commercial establishment causing Stray Animals late night in Vasant Kunj for 5 days.,Other,Stray Animals,Vasant Kunj,5 days,28.528351,77.155724,Resolved
C2081,"Frequent sudden Transformer Fault in Janakpuri Block B for 2 days, appliances getting damaged.",Electrical,Transformer Fault,Janakpuri Block B,2 days,28.623825,77.087133,Resolved
C2152,Continuous gridlock and Traffic Signal Down due to illegal encroaching near Gate 2 in Shahdara.,Traffic,Traffic Signal Down,Shahdara,24 hours,28.672277,77.290061,Pending
C1988,"Public park in Vasant Kunj has Broken Bench for for past 4 days, unsafe for walking.",Parks,Broken Bench,Vasant Kunj,for past 4 days,28.528056,77.154042,Resolved
C1307,"Frequent sudden Transformer Fault in Indirapuram for almost 10 days, appliances getting damaged.",Electrical,Transformer Fault,Indirapuram,almost 10 days,28.641854,77.371402,Pending
C1871,Unauthorized commercial establishment causing Encroachment late night in Pitampura for 2 days.,Other,Encroachment,Pitampura,2 days,28.698766,77.140355,In Progress
C1450,Old banyan tree has Tree Fall Hazard leaning over pedestrian pathway near Mother Dairy in Krishna Nagar.,Parks,Tree Fall Hazard,Krishna Nagar,since Monday,28.661741,77.279953,In Progress
C1470,"Street light pole has Exposed Wire near Pillar 45 in Vasant Kunj, complete darkness for 2 days.",Electrical,Exposed Wire,Vasant Kunj,2 days,28.531007,77.15525,In Progress
C1229,"Urgent repair needed for Footpath Damage near Govt Senior Secondary School, road surface completely broken.",Roads,Footpath Damage,Indirapuram,48 hours,28.642262,77.371042,Resolved
C1369,"Severe Water Contamination observed near Bus Stand in Karol Bagh, clean drinking water being wasted for since Monday.",Water,Water Contamination,Karol Bagh,since Monday,28.650656,77.189183,Pending
C1992,Illegal temporary stalls and Encroachment blocking the walkway in Connaught Place.,Other,Encroachment,Connaught Place,almost 10 days,28.633185,77.217036,Pending
C1911,No drinking water received in Indirapuram due to Water Contamination since last 2 days.,Water,Water Contamination,Indirapuram,2 days,28.640481,77.372637,Pending
C1324,Loudspeakers and industrial machinery causing unbearable Stray Animals in residential Lajpat Nagar for almost 10 days.,Other,Stray Animals,Lajpat Nagar,almost 10 days,28.568705,77.242491,Manual Review
C1852,Continuous gridlock and Traffic Congestion due to illegal encroaching near Railway Crossing in Krishna Nagar.,Traffic,Traffic Congestion,Krishna Nagar,2 days,28.660665,77.277935,Pending
C1236,Pack of aggressive stray dogs causing Stray Animals near Mother Dairy in Shahdara.,Other,Stray Animals,Shahdara,2 weeks,28.675132,77.288985,Pending
C1826,"Drinking water supply in Krishna Nagar has brown smelly Low Water Pressure for 24 hours, health risk to residents.",Water,Low Water Pressure,Krishna Nagar,24 hours,28.65825,77.279831,Pending
C1083,"Community dustbin has Overflowing Bin in Janakpuri Block B, stray dogs and cows scattering trash everywhere.",Sanitation,Overflowing Bin,Janakpuri Block B,2 weeks,28.622798,77.089706,In Progress
C1323,Underground Water Leakage near Mother Dairy causing street flooding in Vasant Kunj.,Water,Water Leakage,Vasant Kunj,24 hours,28.529468,77.154927,Resolved
C1039,"Community dustbin has Dead Animal in Janakpuri Block B, stray dogs and cows scattering trash everywhere.",Sanitation,Dead Animal,Janakpuri Block B,since last Thursday,28.622723,77.088044,Pending
C1404,Old banyan tree has Tree Fall Hazard leaning over pedestrian pathway near Gate 2 in Noida Sector 62.,Parks,Tree Fall Hazard,Noida Sector 62,2 weeks,28.627759,77.363954,Resolved
C1550,"Street dark and unsafe for women due to Power Outage on 3rd Cross, Mayur Vihar Phase 1 for 3 days.",Electrical,Power Outage,Mayur Vihar Phase 1,3 days,28.60718,77.293714,Manual Review
C1396,Distribution transformer has Power Outage sparking continuously near Railway Crossing in Lajpat Nagar.,Electrical,Power Outage,Lajpat Nagar,2 days,28.56688,77.242575,Manual Review
C1366,Dense bushes and Tree Fall Hazard in Janakpuri Block B park haven't been trimmed for for past 4 days.,Parks,Tree Fall Hazard,Janakpuri Block B,for past 4 days,28.620282,77.086334,Resolved
C1994,Sanitation workers haven't cleared Dead Animal near Metro Station in Civil Lines for past 5 days.,Sanitation,Dead Animal,Civil Lines,5 days,28.679406,77.22148,In Progress
C1806,"Major Water Contamination on the main line near Police Station in Shahdara, whole sector affected.",Water,Water Contamination,Shahdara,since Monday,28.672866,77.288558,Pending
C1147,"Frequent sudden Broken Street Light in Shahdara for 24 hours, appliances getting damaged.",Electrical,Broken Street Light,Shahdara,24 hours,28.67186,77.287314,Pending
C1004,"Underground sewer line has Sewage Blockage near Main Market in Vasant Kunj, water entering ground floor homes.",Sewage,Sewage Blockage,Vasant Kunj,3 days,28.527671,77.152287,Resolved
C1497,"Major Low Water Pressure on the main line near Community Center in Lajpat Nagar, whole sector affected.",Water,Low Water Pressure,Lajpat Nagar,almost 10 days,28.566905,77.241646,Resolved
C1522,"Community dustbin has Garbage Dump in Dwarka Sector 6, stray dogs and cows scattering trash everywhere.",Sanitation,Garbage Dump,Dwarka Sector 6,since last Thursday,28.584133,77.060997,In Progress
C1625,"Major intersection in Dwarka Sector 6 has Traffic Signal Down near Post Office, creating chaotic traffic jam.",Traffic,Traffic Signal Down,Dwarka Sector 6,48 hours,28.581225,77.060123,Manual Review
C1060,Illegal temporary stalls and Stray Animals blocking the walkway in Noida Sector 62.,Other,Stray Animals,Noida Sector 62,2 weeks,28.626938,77.364243,Resolved
C2047,"Severe Pipeline Burst observed near Metro Station in Pitampura, clean drinking water being wasted for 48 hours.",Water,Pipeline Burst,Pitampura,48 hours,28.700729,77.137049,Resolved
C1754,"Broken boundary wall and Park Cleanliness in municipal garden, Shahdara.",Parks,Park Cleanliness,Shahdara,since Monday,28.673381,77.286532,Resolved
C1834,"The road in Noida Sector 62 has an unrepaired Road Damage for almost 10 days, vehicles are getting damaged.",Roads,Road Damage,Noida Sector 62,almost 10 days,28.629848,77.365869,In Progress
C1853,Illegal waste and Garbage Dump dumped openly beside Post Office in Rohini Sector 14.,Sanitation,Garbage Dump,Rohini Sector 14,2 weeks,28.717255,77.130829,Pending
C2065,Cattle wandering on road causing Encroachment near Post Office in Indirapuram.,Other,Encroachment,Indirapuram,1 week,28.639513,77.371952,Resolved
C1691,Missing directional signboard and Missing Signboard near Post Office in Vasant Kunj.,Traffic,Missing Signboard,Vasant Kunj,2 weeks,28.530974,77.155647,Resolved
C1333,Unauthorized commercial establishment causing Public Nuisance late night in Vasant Kunj for 48 hours.,Other,Public Nuisance,Vasant Kunj,48 hours,28.528171,77.153619,Pending
C1240,"Major Water Contamination on the main line near Police Station in Janakpuri Block B, whole sector affected.",Water,Water Contamination,Janakpuri Block B,2 days,28.623553,77.0865,Resolved
C1607,Choked drainage and Sewage Overflow outside City Hospital in Rohini Sector 14 for past 24 hours.,Sewage,Sewage Overflow,Rohini Sector 14,24 hours,28.716087,77.133788,In Progress
C1478,"Urgent repair needed for Road Damage near Railway Crossing, road surface completely broken.",Roads,Road Damage,Vasant Kunj,5 days,28.531234,77.154634,Pending
C1013,Cattle wandering on road causing Public Nuisance near Gate 2 in Shahdara.,Other,Public Nuisance,Shahdara,almost 10 days,28.674283,77.288927,In Progress
C2124,Open drain with Sewage Blockage causing severe mosquito menace in Indirapuram.,Sewage,Sewage Blockage,Indirapuram,2 weeks,28.640958,77.372969,In Progress
C1347,"Urgent repair needed for Missing Manhole Cover near Pillar 45, road surface completely broken.",Roads,Missing Manhole Cover,Karol Bagh,for past 4 days,28.651083,77.190885,Pending
C1614,Heavy storm caused Park Cleanliness blocking the entrance of Connaught Place park near Mother Dairy.,Parks,Park Cleanliness,Connaught Place,3 days,28.630388,77.215859,Pending
C1468,Stagnant sewer water and Gutter Stagnation overflowing onto pavement in Lajpat Nagar for 5 days.,Sewage,Gutter Stagnation,Lajpat Nagar,5 days,28.56767,77.244587,Resolved
C1469,Children play area has damaged swings and Overgrown Vegetation in Connaught Place municipal park.,Parks,Overgrown Vegetation,Connaught Place,1 week,28.629983,77.218109,Pending
C1612,Contaminated foul-smelling water coming from taps in Saket for 2 days.,Water,Water Contamination,Saket,2 days,28.524936,77.207129,Pending
C1554,Underground Pipeline Burst near Gate 2 causing street flooding in Janakpuri Block B.,Water,Pipeline Burst,Janakpuri Block B,2 days,28.622596,77.087318,Pending
C1345,Stagnant sewer water and Sewage Overflow overflowing onto pavement in Pitampura for 1 week.,Sewage,Sewage Overflow,Pitampura,1 week,28.699071,77.138438,Resolved
C1454,"Public park in Shahdara has Overgrown Vegetation for 2 days, unsafe for walking.",Parks,Overgrown Vegetation,Shahdara,2 days,28.671439,77.286754,In Progress
C2077,Distribution transformer has Transformer Fault sparking continuously near Railway Crossing in Mayur Vihar Phase 1.,Electrical,Transformer Fault,Mayur Vihar Phase 1,24 hours,28.60989,77.297136,Pending
C1791,"Community dustbin has Garbage Dump in Mayur Vihar Phase 1, stray dogs and cows scattering trash everywhere.",Sanitation,Garbage Dump,Mayur Vihar Phase 1,5 days,28.60813,77.293612,Pending
C1763,"Key traffic junction has Traffic Congestion at Civil Lines crossing, accidents happening daily.",Traffic,Traffic Congestion,Civil Lines,3 days,28.678281,77.222428,Resolved
C1174,"The road in Karol Bagh has an unrepaired Missing Manhole Cover for 48 hours, vehicles are getting damaged.",Roads,Missing Manhole Cover,Karol Bagh,48 hours,28.650017,77.189423,In Progress
C1316,"Uncollected garbage and Dead Animal rotting in Connaught Place for almost 10 days, breeding mosquitoes.",Sanitation,Dead Animal,Connaught Place,almost 10 days,28.630036,77.215171,Pending
C1626,No drinking water received in Shahdara due to Low Water Pressure since last since last Thursday.,Water,Low Water Pressure,Shahdara,since last Thursday,28.671752,77.286996,Manual Review
C1670,Distribution transformer has Broken Street Light sparking continuously near Gate 2 in Civil Lines.,Electrical,Broken Street Light,Civil Lines,since Monday,28.68002,77.220916,Pending
C1768,"Dangerous Missing Manhole Cover near Gate 2 in Lajpat Nagar for 1 week, multiple bike slips reported.",Roads,Missing Manhole Cover,Lajpat Nagar,1 week,28.56904,77.243378,Pending
C1636,"The road in Connaught Place has an unrepaired Missing Manhole Cover for 1 week, vehicles are getting damaged.",Roads,Missing Manhole Cover,Connaught Place,1 week,28.631885,77.215624,Pending
C1516,"Manhole lid broken with Gutter Stagnation near school in Civil Lines, life-threatening for children.",Sewage,Gutter Stagnation,Civil Lines,5 days,28.677907,77.221814,In Progress
C2039,Pack of aggressive stray dogs causing Noise Pollution near Post Office in Krishna Nagar.,Other,Noise Pollution,Krishna Nagar,5 days,28.661853,77.277702,Pending
C1061,"Drinking water supply in Rohini Sector 14 has brown smelly Water Contamination for 5 days, health risk to residents.",Water,Water Contamination,Rohini Sector 14,5 days,28.718826,77.130757,Pending
C1693,"Major intersection in Janakpuri Block B has Traffic Signal Down near Mother Dairy, creating chaotic traffic jam.",Traffic,Traffic Signal Down,Janakpuri Block B,24 hours,28.620339,77.086929,Pending
C1358,Commercial vehicles and cabs doing Traffic Congestion on narrow road in Karol Bagh for since last Thursday.,Traffic,Traffic Congestion,Karol Bagh,since last Thursday,28.652612,77.191556,In Progress
C1698,Dense bushes and Broken Bench in Civil Lines park haven't been trimmed for since last Thursday.,Parks,Broken Bench,Civil Lines,since last Thursday,28.67968,77.221839,Pending
C1885,No drinking water received in Indirapuram due to Low Water Pressure since last since Monday.,Water,Low Water Pressure,Indirapuram,since Monday,28.640702,77.373337,In Progress
C2056,Sanitation workers haven't cleared Overflowing Bin near Police Station in Karol Bagh for past 5 days.,Sanitation,Overflowing Bin,Karol Bagh,5 days,28.650192,77.189428,Resolved
C1206,"Massive Garbage Dump accumulating near Pillar 45 in Dwarka Sector 6 for since Monday, terrible stench.",Sanitation,Garbage Dump,Dwarka Sector 6,since Monday,28.582403,77.061677,Resolved
C1486,"Manhole lid broken with Manhole Overflow near school in Civil Lines, life-threatening for children.",Sewage,Manhole Overflow,Civil Lines,3 days,28.679536,77.221571,Pending
C1241,Illegal waste and Garbage Dump dumped openly beside Bus Stand in Vasant Kunj.,Sanitation,Garbage Dump,Vasant Kunj,5 days,28.531046,77.155749,Resolved
C1899,Public walkway encroached by shops causing Stray Animals in Krishna Nagar for 2 days.,Other,Stray Animals,Krishna Nagar,2 days,28.659788,77.278463,Pending
C1543,"Dangerous Missing Manhole Cover near Mother Dairy in Indirapuram for 3 days, multiple bike slips reported.",Roads,Missing Manhole Cover,Indirapuram,3 days,28.641735,77.371413,Pending
C1533,"Underground sewer line has Manhole Overflow near Mother Dairy in Indirapuram, water entering ground floor homes.",Sewage,Manhole Overflow,Indirapuram,since last Thursday,28.64143,77.370881,In Progress
C1935,Dense bushes and Broken Bench in Mayur Vihar Phase 1 park haven't been trimmed for 2 days.,Parks,Broken Bench,Mayur Vihar Phase 1,2 days,28.610532,77.29696,Resolved
C1958,"Underground sewer line has Sewage Blockage near Main Market in Noida Sector 62, water entering ground floor homes.",Sewage,Sewage Blockage,Noida Sector 62,2 days,28.627123,77.366518,Resolved
C2100,Missing directional signboard and Missing Signboard near Mother Dairy in Civil Lines.,Traffic,Missing Signboard,Civil Lines,1 week,28.679152,77.22295,Pending
C1188,Children play area has damaged swings and Tree Fall Hazard in Janakpuri Block B municipal park.,Parks,Tree Fall Hazard,Janakpuri Block B,24 hours,28.623054,77.087179,Resolved
C1681,Pack of aggressive stray dogs causing Encroachment near Govt Senior Secondary School in Rohini Sector 14.,Other,Encroachment,Rohini Sector 14,for past 4 days,28.717032,77.131954,Pending
C1745,"Major Water Leakage on the main line near Govt Senior Secondary School in Karol Bagh, whole sector affected.",Water,Water Leakage,Karol Bagh,2 days,28.65134,77.189164,Resolved
C1259,Pack of aggressive stray dogs causing Public Nuisance near City Hospital in Dwarka Sector 6.,Other,Public Nuisance,Dwarka Sector 6,3 days,28.580429,77.061241,In Progress
C2133,"Massive Overflowing Bin accumulating near Pillar 45 in Karol Bagh for 2 days, terrible stench.",Sanitation,Overflowing Bin,Karol Bagh,2 days,28.650495,77.189469,Pending
C2054,Public health emergency due to unattended Dead Animal near school gate in Rohini Sector 14.,Sanitation,Dead Animal,Rohini Sector 14,48 hours,28.718796,77.130526,Pending
C1018,Cattle wandering on road causing Noise Pollution near Govt Senior Secondary School in Vasant Kunj.,Other,Noise Pollution,Vasant Kunj,5 days,28.529939,77.155687,Pending
C1538,"Broken boundary wall and Tree Fall Hazard in municipal garden, Connaught Place.",Parks,Tree Fall Hazard,Connaught Place,5 days,28.632061,77.216456,Pending
C1967,Commercial vehicles and cabs doing Missing Signboard on narrow road in Lajpat Nagar for 1 week.,Traffic,Missing Signboard,Lajpat Nagar,1 week,28.569535,77.24463,Resolved
C1569,Distribution transformer has Exposed Wire sparking continuously near Govt Senior Secondary School in Saket.,Electrical,Exposed Wire,Saket,5 days,28.524507,77.205282,Pending
C2009,"Severe Pipeline Burst observed near Mother Dairy in Mayur Vihar Phase 1, clean drinking water being wasted for 2 days.",Water,Pipeline Burst,Mayur Vihar Phase 1,2 days,28.607387,77.296839,Pending
C1394,"Severe Water Leakage observed near Bus Stand in Indirapuram, clean drinking water being wasted for 48 hours.",Water,Water Leakage,Indirapuram,48 hours,28.643376,77.372938,In Progress
